Year,GDP_S
2001,39727.84667
2002,42578.76314
2003,49470.39713
2004,54878.471
2005,56546.78566
2006,59300.61722
2007,65359.51922
2008,74572.23237
2009,72083.1677
2010,77117.12601
2011,91254.03476
