Year,GDP_S
2001,590.381815
2002,741.7474939
2003,795.3862287
2004,1007.874342
2005,1268.383462
2006,1656.424794
2007,1883.461388
2008,2259.114059
2009,1911.607866
2010,2280.437337
2011,2487.598017
